Designator,Mid X,Mid Y,Rotation,Layer
C1,116.84,-82.225,270.0,top
C2,132.334,-80.03,270.0,top
C3,137.882,-94.488,180.0,top
C4,139.644,-100.838,180.0,top
D1,127.508,-79.502,270.0,top
D2,148.59,-78.105,270.0,top
D3,148.59,-104.14,270.0,top
D4,191.135,-80.645,90.0,top
D5,191.135,-97.805,90.0,top
D6,191.135,-115.585,90.0,top
J1,111.07,-84.455,270.0,top
J2,196.85,-93.995,0.0,top
J3,196.85,-111.775,0.0,top
J4,104.775,-111.125,0.0,top
JP1,151.135,-74.295,270.0,top
R1,150.495,-101.6,90.0,top
R2,146.685,-101.6,90.0,top
R3,191.135,-86.36,180.0,top
R4,191.135,-103.52,180.0,top
R5,191.135,-121.3,180.0,top
RV1,116.19,-110.575,0.0,top
SW1,122.555,-95.25,0.0,top
SW2,122.555,-100.33,0.0,top
SW3,105.355,-101.6,90.0,top
SW4,177.725,-77.125,0.0,top
SW5,177.65,-94.27,0.0,top
SW6,177.65,-112.05,0.0,top
U1,135.255,-82.55,270.0,top
U2,163.195,-97.79,0.0,top
